shopid,userid
60341714,96000734&135194360&162869275&69506545&132628016&131523605&100922335&100922335
60481448,115406819&87305586&5191626&86405199&208981645
60491277,43948072&80908103&59303198&24555214&70162392&147456592&3598356&74545917&74720552&48672607&69214984&9774379
60572798,11294140&173805044&151622670&179356331
60586094,188482373&153541668&164623534&141288801&124828985&74528137
60586130,41901907&88844315&143167790&10022557
60587140,1275883&76296057&140401094
60587222,33794624&86098343&157242256&86098343&157242256&214532461&60904311&157242256&214532461&95500119&190481965&18922664&126309688&7916832&78965385&7916832&78965385&214904019&52214109&110855494&123658343&199570696
60632091,214241705
60632301,2063106&90265100
60785363,169744537&214620364&214620364&508484&214620364&508484&104925167&39432847&209926239&39432847&94004525&209926239&94004525&183759098&209926239&31145012&79841249&149056328&52780299&73135533&171001017
60785436,157267807&146276210&161994493&70059809&168814875&174614928&190997025&100534957&31556279&202995226&4112890&7437282&96927218
60785640,176218590&181689946&204941970&26067920&204941970&86279356&130066970&20091620&149777477&20091620&120484195&20091620&116760227&120484195&203575407&205939457&180031128&203575407&16648065&180031128&203575407&16648065&204795676&170664624&204795676&163757904&170664624&163757904&170664624&214640941&33808606&171140538&33808606&92306912&171140538&31608731&92306912&31608731&211675059&31608731&195969314&211675059&44639006&86857592&86857592&183157170&183157170&214727468&54818197&177237549&36455297&133628148&101296643&159782834&60079772&176373646&56672510&60079772&176373646&143001534&185579048&204206143&80597207&204206143&80597207&175210279&105391960&175210279&30799573&105391960&175210279&914235&211555213&214803817&914235&157451492&211555213&29081955&157451492&211555213&50517454&127524673&50517454&201418877&50517454&201418877&208869221&21420495&214478201&117583372&150266360&1043358&117583372&150266360&25253178&185342602&187382104&25253178&185342602&187382104&25253178&53412582&185342602&187382104&25253178&44068426&53412582&187382104&20091620&56493245&106760414&213444787&134191748&189273151&202995226&215288736&91059433&202995226&214964946&215288736&91059433&202995226&208780394&214964946&215288736&91059433&202507279&202995226&208780394&214964946&215288736&91059433&105980117&202507279&208780394&214964946&72594526&91059433&105980117&202507279&208780394&214964946&72594526&105980117&121254609&202507279&17490351&66475143&133661180&204231254&17490351&49355469&133661180&204231254&17490351&29081955&49355469&133661180&204231254
60861743,87934644&148118105&148118105&146430357&148118105&75564159&172220582&43096719&82744482&148984361&165244617&50155899&147195354&115946603&157661425&115946603&157661425&212806359&18513700&85122060&7642742&7956892&112779308
60863287,15397750&116544842&195316411&33800184&80308620&53447212&146709382&201446302&2044578&34132265&55403351&31451181&44312760&75018119&177476771&177235040&53817276&65509941&38961200&647586&42128654&198326568&92393942&103591203&48278871&72880652&68742938&18086034&198339871&146761432&49966517&75370202&125272515&135703952
60863338,174713732&96608258&187253684&46506126&200693513&77932974&22656148&144127704&93458967&15480125&196382307&210043782&20120222&131458649
60864445,110786545&58762699&166478509&76415971&23358868&48840421&91020537&17024742&57965152&4414988&11471306&91834006&543036&183048033
60864760,5653856&165071464&5653856&44887741&165071464&44887741&117822676&69340192&168481983&549988&69340192&549988&120053677&197884732&212300406&27040752&197884732&212300406&6605234&180945407&4041349&6605234&4041349&45665784&45665784&105876176&49966517&173696208&135146278&204955302&88853501&135146278&88853501&215196990&88853501&215196990&25243111&73445341&79110616&112845614
60867012,204874061&111016457&64470487&5603218&64945531&86405199&72301871
61359433,133777600&32007753&7765930&7228943&39657599&53415124&250016&101850859&61084860&6208440&4192623&4192623&17323362&19072201&144967521&212934132&144967521&207257335&44312760&116468388&3910553&44312760&116468388&3910553&44312760&116468388&54886103&62841444&68166247&7839413&54886103&62841444&68166247&16020053&54003410&132604282&201834789&16020053&101259324&132604282&201834789&77308483&101259324&132604282&634347&77308483&101259324&132604282&634347&77308483&101259324&132604282&634347&77308483&101259324&210623025&634347&2097773&77308483&210623025&19377&16052150&136102106&147456592&202615099&19430156&33922830&64861903&196209737&201250336&2005518&32734614&33761703&42552084&116593311
61475131,168051629&120368654&170133881&55332187&185691689&148360519&201907247&105997922&96593824&79075356&91131597&34977487&71534182&97601056&42414699&156528680&214555792&89021131&50189170&154983960&136415027&132491471&151492322&30627825&14418132&164676253&10057&118628619&57928949&60215690&99141972&169597964&172327280&134508922&21903&100313055&176478744&118490337&437516&118490337&105658150&50547326&142768992&50547326&101571065&142768992&36370156&183445216&3538134&60756026
61510385,186057945&212300406&77335646&89548208&83674782&167723753&297840&248127&409876&173125244&101985683&21426971&161122816&106384727&12148307&114808083&89142442&31510038
